Date,Course,Off,Name,Type,Class,Pattern,Rating_Band,Age_Band,Sex_Rest,Dist,Dist_Y,Dist_M,Dist_F,Going,Num,Pos,Ran,Draw,Btn,Ovr_Btn,Horse,SP,Dec,Age,Sex,Wgt,Lbs,HG,Time,Jockey,Trainer,OR,RPR,TS,Prize,Sire,Dam,Damsire,Owner,Comment
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,4,1,10,2,0,0,Never Dark (GB),2/1F,3.00,3,C,9-4,130,,0:59.67,David Probert,Andrew Balding,74,,,3493.26,No Nay Never (USA),Dark Missile (GB),Night Shift,J C Smith,Made all - ridden 2f out - kept on inside final furlong - always doing enough(op 7/4)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,6,2,10,1,1.25,1.25,Newyorkstateofmind (GB),3/1,4.00,3,G,9-4,130,,0:59.92,Martin Dwyer,William Muir,74,,,1039.50,Brazen Beau (AUS),Albany Rose (IRE),Noverre,Purple Lilac Racing Spotted Dog Pship,Took keen hold - reared start - soon pushed along - chased leaders on inner - switched left and ridden over 2f out - kept on well inside final furlong - went second towards finish - did well in the circumstances(op 4/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,9,3,10,5,1.5,2.75,Roman Melody (GB),12/1,13.00,3,G,9-3,129,,1:0.22,William Carson,David Elsworth,73,,,519.48,Holy Roman Emperor (IRE),Gift Of Music (IRE),Cadeaux Genereux,J C Smith,In rear - ridden briefly after 2f - ridden and outpaced over 2f out - kept on strongly from over 1f out - went third post(op 10/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,7,4,10,3,0.05,2.75,Spirit Of The Sky (GB),14/1,15.00,3,F,9-1,127,,1:0.23,Connor Murtagh,Richard Fahey,74,,,259.74,Swiss Spirit (GB),Clouds Rest (GB),Showcasing,Racegoers Club Owners Group,Hung left soon after start - tracked leaders - ridden 2f out - no extra final 110yds - lost third post (jockey said filly hung left-handed off the bend)(op 11/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,1,5,10,7,2.25,5,Colonel Whitehead (IRE),20/1,21.00,3,C,9-5,131,,1:0.67,George Wood,Heather Main,75,,,,Showcasing (GB),Lady Brigid (IRE),Holy Roman Emperor,Andrew Tuck And Wetumpka Racing,Close up - ridden over 2f out - no extra and weakened from over 1f out(tchd 22/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,10,6,10,4,2.25,7.25,Lady Fanditha (IRE),9/2,5.50,3,F,9-2,128,,1:1.12,Adam Kirby,Clive Cox,72,,,,Kodiac (GB),Lady Ro (GB),Showcasing,Peter Ridgers,Always towards rear - bumped and ridden soon after start - pushed along after 2f - ridden and outpaced 2f out - made no impression(op 5/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,3,7,10,9,0.2,7.5,Zulu Zander (IRE),50/1,51.00,3,G,9-5,131,,1:1.21,Harry Bentley,David Evans,75,,,,Bungle Inthejungle (GB),Fig Digliani (IRE),Fasliyev,John Wilcox P D Evans,Took keen hold - always towards rear - bit short of room and ridden after 2f - not pace to challenge(op 33/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,5,8,10,10,1.75,9.25,Dandizette (IRE),33/1,34.00,3,F,9-4,130,,1:1.52,Barry McHugh,Adrian Nicholls,74,,,,Dandy Man (IRE),Interlacing (GB),Oasis Dream,Northumbria Leisure Ltd,Edged left soon after start - chased leaders about four wide - ridden 2f out - soon weakened(op 20/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,2,9,10,6,1.25,10.5,Agent Shiftwell (GB),8/1,9.00,3,G,9-5,131,,1:1.77,Sean Levey,Stuart Williams,75,,,,Equiano (FR),Holley Shiftwell (GB),Bahamian Bounty,J W Parry,Took keen hold - chased leaders - ridden and no response 2f out - weakened over 1f out (jockey said gelding hung left-handed off the bend)(op 10/1)
2020-06-03,kempton-aw,1:00,Unibet Thanks The Frontline Workers Handicap,,Class 5,,0-75,3yo,,5f,1100,1006,5f,Standard To Slow,8,10,10,8,1.5,12,Port Winston (IRE),125/1,126.00,3,G,9-3,129,h,1:2.07,Lewis Edmunds,Milton Bradley,73,,,,Harbour Watch (IRE),Volkovkha (GB),Holy Roman Emperor,E A Hayward,Never better than mid-division - ridden and outpaced halfway - dropped to rear 2f out(op 66/1)
