"date","course","time","race_name","class","band","distance","going","pos","draw","btn","name","sp","age","weight","gear","jockey","trainer","or","ts","rpr","prize","comment"
10 Nov 2018,Amiens,5:45,Prix la Sega (Maiden) (3yo Colts & Geldings) (Turf),not found,3yo,1m,Very Soft,1,6,,Uther Pendragon,7/5F,3,9-2,p,J S Moore,Tony Piccone,,,83,7079.65,Chased leader - led 4f out - ridden and kicked for home 2f out - kept on strongly and in command final 100yds
10 Nov 2018,Amiens,5:45,Prix la Sega (Maiden) (3yo Colts & Geldings) (Turf),not found,3yo,1m,Very Soft,2,8,2.5,Corantin,9/1,3,9-2,,J-Y Artu,Eddy Hardouin,,,77,2831.86,
10 Nov 2018,Amiens,5:45,Prix la Sega (Maiden) (3yo Colts & Geldings) (Turf),not found,3yo,1m,Very Soft,3,5,8.5,Lipstick,8/5,3,8-8,,C Laffon-Parias,Alejandro Gutierrez Val,,,63,2123.89,
10 Nov 2018,Amiens,5:45,Prix la Sega (Maiden) (3yo Colts & Geldings) (Turf),not found,3yo,1m,Very Soft,4,2,11,Grisbi,81/10,3,8-7,,Robert Collet,Mlle Lea Bails,,,57,1415.93,
10 Nov 2018,Amiens,5:45,Prix la Sega (Maiden) (3yo Colts & Geldings) (Turf),not found,3yo,1m,Very Soft,5,4,14,Birdie,64/1,3,8-6,,T Castanheira,Teddy Hautbois,,,46,707.96,
10 Nov 2018,Amiens,5:45,Prix la Sega (Maiden) (3yo Colts & Geldings) (Turf),not found,3yo,1m,Very Soft,6,3,14.75,Welcome Love,50/1,3,8-6,,Philippe Hern,Jeremie Monteiro,,,44,,
10 Nov 2018,Amiens,5:45,Prix la Sega (Maiden) (3yo Colts & Geldings) (Turf),not found,3yo,1m,Very Soft,7,7,16.5,Raster,32/5,3,8-13,p,M Boutin,Mlle Coralie Pacaut,,,45,,
10 Nov 2018,Amiens,5:45,Prix la Sega (Maiden) (3yo Colts & Geldings) (Turf),not found,3yo,1m,Very Soft,8,1,46.5,Air Chief Amiral,41/1,3,8-11,,M Krebs,Fabien Lefebvre,,,,,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,1,6,,Adorian,40/1,2,8-6,,S Smrczek,Thomas Trullier,,,67,7079.65,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,2,11,nk,Staccato,11/1,2,8-13,,N Clement,Sebastien Maillot,,,68,2831.86,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,3,2,1,Culture,14/1,2,9-2,,George Baker,Theo Bachelot,,,69,2123.89,Soon led - headed 3f out - remained close up - ridden to chase leader over 1f out - driven and kept on inside final furlong
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,4,8,2.75,Mirando,23/10F,2,9-2,,R Rohne,Clement Lecoeuvre,,,66,1415.93,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,5,9,3,Toptional,31/10,2,9-2,,M Delzangles,Tony Piccone,,,65,707.96,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,6,1,4.25,Some Style,22/1,2,8-5,,H-F Devin,Gary Sanchez,,,59,,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,7,10,4.5,Federspieler,15/2,2,9-2,,J Parize,Antoine Hamelin,,,62,,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,8,7,5,Palmina,95/1,2,8-13,,D Zarroli,Jefferson Smith,,,58,,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,9,13,5,Estibere,89/1,2,9-2,,Edouard Thueux,Stephane Breux,,,60,,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,10,12,5.25,Alhammer,10/1,2,8-5,,Waldemar Hickst,Mlle Coralie Pacaut,,,55,,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,11,3,7.25,Ultimatum,76/10,2,9-2,,C Laffon-Parias,Stephane Laurent,,,56,,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,12,4,7.5,Unbelieveable,19/1,2,8-11,,Gianluca Bietolini,Aurelien Lemaitre,,,50,,
3 Nov 2018,Amiens,4:15,Prix Paul Couturier (Maiden) (2yo) (Turf),not found,2yo,1m,Soft,13,5,12.5,My Girl,20/1,2,8-6,,Jason Ward,Mlle Alison Massin,,,41,,Shifted left leaving stalls - in rear early and took keen hold - short-lived effort 3f out - soon beaten and never a factor
22 Nov 2018,Angers,12:25,Prix Kerautem (Conditions) (2yo) (Turf),not found,2yo,1m2f,Very Soft,1,4,,Life's A Breeze,97/10,2,8-9,,R Le Gal,Antoine Hamelin,,,73,15486.73,
22 Nov 2018,Angers,12:25,Prix Kerautem (Conditions) (2yo) (Turf),not found,2yo,1m2f,Very Soft,2,3,3,Kimriver,15/1,2,8-9,,L Viel,Alexandre Roussel,,,68,5884.96,
22 Nov 2018,Angers,12:25,Prix Kerautem (Conditions) (2yo) (Turf),not found,2yo,1m2f,Very Soft,3,11,3.25,Fan Zone,17/1,2,8-9,p,B De Montzey,Theo Bachelot,,,67,4336.28,
22 Nov 2018,Angers,12:25,Prix Kerautem (Conditions) (2yo) (Turf),not found,2yo,1m2f,Very Soft,4,7,3.25,Pray,13/5,2,8-9,,Andreas Suborics,Alexander Pietsch,,,67,2477.88,
22 Nov 2018,Angers,12:25,Prix Kerautem (Conditions) (2yo) (Turf),not found,2yo,1m2f,Very Soft,5,2,4,Light Heart,21/10F,2,8-13,,P Monfort,Christophe Soumillon,,,70,1238.94,
22 Nov 2018,Angers,12:25,Prix Kerautem (Conditions) (2yo) (Turf),not found,2yo,1m2f,Very Soft,6,10,5.5,Purple Light,36/5,2,8-13,,C Boutin,Anthony Crastus,,,67,929.20,
22 Nov 2018,Angers,12:25,Prix Kerautem (Conditions) (2yo) (Turf),not found,2yo,1m2f,Very Soft,7,5,6,Ballet Red,41/5,2,8-6,h,Harry Dunlop,Thomas Trullier,,,59,619.47,Led - urged along over 2f out - ridden and headed over 1f out - kept on same pace final furlong
22 Nov 2018,Angers,12:25,Prix Kerautem (Conditions) (2yo) (Turf),not found,2yo,1m2f,Very Soft,8,1,6.5,Shandros,37/1,2,8-9,b,S Jesus,Quentin Perrette,,,61,,
22 Nov 2018,Angers,12:25,Prix Kerautem (Conditions) (2yo) (Turf),not found,2yo,1m2f,Very Soft,9,9,9,Cleostorm,17/2,2,8-6,p,P Monfort,Christopher Grosbois,,,54,,
22 Nov 2018,Angers,12:25,Prix Kerautem (Conditions) (2yo) (Turf),not found,2yo,1m2f,Very Soft,10,12,24,Nordic Spirit,105/1,2,8-9,p,F Monnier,Soufiane Saadi,,,30,,
22 Nov 2018,Angers,12:25,Prix Kerautem (Conditions) (2yo) (Turf),not found,2yo,1m2f,Very Soft,11,6,39,Abesti Gogorra,178/1,2,8-6,,P Ventena Alves,Jefferson Smith,,,,,
